City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Saskylakh,RU,71.9167,114.0833,-20.42,100,100,2.44,overcast clouds
253,Namibe,AO,-15.1961,12.1522,78.55,63,14,15.66,few clouds
254,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,20.71,scattered clouds
255,Santarem,BR,-2.4431,-54.7083,77.13,100,100,2.3,overcast clouds
256,Barranca,PE,-10.75,-77.7667,73.33,73,100,8.63,overcast clouds
257,Great Falls,US,47.5002,-111.3008,31.39,64,0,5.75,clear sky
258,Abu Dhabi,AE,24.4667,54.3667,80.71,61,0,11.5,clear sky
259,Ijui,BR,-28.3878,-53.9147,64.42,67,29,11.92,scattered clouds
260,Anloga,GH,5.7947,0.8973,85.8,74,44,19.3,scattered clouds
261,Burnie,AU,-41.0667,145.9167,59.76,88,59,7.61,broken clouds
262,Benjamin Hill,MX,30.1667,-111.1,71.64,12,65,4.7,broken clouds
263,Vilhena,BR,-12.7406,-60.1458,79.02,78,20,9.22,few clouds
264,Flin Flon,CA,54.7682,-101.865,-11.36,53,0,10.36,clear sky
265,Nkayi,CG,-4.1841,13.2884,88.75,64,99,1.92,light rain
266,Morro Bay,US,35.3658,-120.8499,49.91,98,91,1.79,overcast clouds
267,Natal,BR,-5.795,-35.2094,77.22,100,75,4.61,moderate rain
268,Xining,CN,36.6167,101.7667,35.29,42,95,10.69,overcast clouds
269,Najran,SA,17.4924,44.1277,84.85,15,0,14.03,clear sky
270,Acari,PE,-15.4311,-74.6158,80.83,56,75,7.92,broken clouds
271,Zhaoyuan,CN,37.3592,120.3964,52.47,38,62,17.43,broken clouds
272,Kudahuvadhoo,MV,2.6708,72.8944,82.2,67,0,7.47,clear sky
273,Polunochnoye,RU,60.8697,60.4153,22.24,84,91,9.13,overcast clouds
274,Petukhovo,RU,55.0692,67.9019,5.4,95,18,7.11,few clouds
275,Tena,EC,-0.9833,-77.8167,71.76,80,99,2.06,light rain
