City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Upernavik,GL,2022-03-18 20:49:51,72.7868,-56.1549,-20.56,78,68,6.98
154,Port Alfred,ZA,2022-03-18 20:48:41,-33.5906,26.891,70.63,87,76,10.4
155,Faanui,PF,2022-03-18 20:47:38,-16.4833,-151.75,81.68,68,0,10.85
156,Kailua,US,2022-03-18 20:45:28,21.4022,-157.7394,82.38,65,87,7.0
157,Latung,PH,2022-03-18 20:50:23,5.5,120.8833,82.24,78,92,4.94
158,Kokstad,ZA,2022-03-18 20:50:23,-30.5472,29.4241,56.14,92,15,3.51
159,Kaka,TM,2022-03-18 20:50:23,37.3482,59.6143,40.17,61,56,4.12
160,Lompoc,US,2022-03-18 20:49:15,34.6391,-120.4579,79.7,59,0,12.66
161,Mount Pleasant,US,2022-03-18 20:50:24,32.7941,-79.8626,75.99,74,20,6.91
162,Santa Marta,CO,2022-03-18 20:46:15,11.2408,-74.199,89.89,53,12,15.01
163,Saint George,US,2022-03-18 20:48:53,37.1041,-113.5841,71.26,17,0,3.44
164,Sorland,NO,2022-03-18 20:50:24,67.667,12.6934,42.66,79,100,32.82
165,Barra Do Garcas,BR,2022-03-18 20:50:24,-15.89,-52.2567,91.98,55,20,5.75
166,Kishtwar,IN,2022-03-18 20:50:24,33.3167,75.7667,55.29,61,0,5.32
167,Northam,GB,2022-03-18 20:49:55,51.0333,-4.2167,49.6,79,1,11.27
168,Abu Dhabi,AE,2022-03-18 20:50:25,24.4667,54.3667,68.11,70,0,13.8
169,Christchurch,NZ,2022-03-18 20:48:06,-43.5333,172.6333,60.42,75,96,12.66
170,Leningradskiy,RU,2022-03-18 20:50:25,69.3833,178.4167,-9.51,78,3,6.06
171,Beringovskiy,RU,2022-03-18 20:49:54,63.05,179.3167,-5.87,79,7,3.22
172,Yershov,RU,2022-03-18 20:50:25,51.3513,48.2766,1.42,100,100,3.29
173,Cape Town,ZA,2022-03-18 20:46:59,-33.9258,18.4232,68.11,81,0,16.11
174,Yulara,AU,2022-03-18 20:50:26,-25.2406,130.9889,73.24,43,93,6.91
175,Iqaluit,CA,2022-03-18 20:50:26,63.7506,-68.5145,-7.31,63,100,4.61
176,Saint Anthony,US,2022-03-18 20:50:26,45.0205,-93.218,47.89,56,0,13.8
177,Henties Bay,NA,2022-03-18 20:50:26,-22.116,14.2845,66.81,77,0,8.79
178,Burgersdorp,ZA,2022-03-18 20:50:27,-30.9977,26.3286,65.3,54,87,2.55
179,Bilma,NE,2022-03-18 20:50:27,18.6853,12.9164,74.44,7,3,7.49
180,Nizwa,OM,2022-03-18 20:50:27,22.9333,57.5333,71.92,41,0,1.61
181,Fort Wellington,GY,2022-03-18 20:50:28,6.4,-57.6,79.25,79,84,11.21
182,Salina,US,2022-03-18 20:50:03,38.8403,-97.6114,53.73,44,0,27.63
183,Chokurdakh,RU,2022-03-18 20:50:28,70.6333,147.9167,-24.75,100,66,5.91
184,Nemuro,JP,2022-03-18 20:50:28,43.3236,145.575,31.28,93,100,14.41
185,Ladario,BR,2022-03-18 20:50:29,-19.0047,-57.6017,91.69,58,40,8.05
186,Sisimiut,GL,2022-03-18 20:51:29,66.9395,-53.6735,-1.71,91,100,8.23
187,Chumikan,RU,2022-03-18 20:51:29,54.7183,135.315,11.53,96,100,4.36
188,Nagar Karnul,IN,2022-03-18 20:51:30,16.4821,78.3247,78.28,45,65,4.03
189,Camacha,PT,2022-03-18 20:51:30,33.0833,-16.3333,56.62,72,75,5.75
