City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Hoquiam,US,46.99,light rain,46.9809,-123.8893,Econo Lodge Inn & Suites
461,Svetlogorsk,BY,45.23,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
462,Rosarito,MX,58.08,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
465,La Serena,CL,58.51,overcast clouds,-29.9078,-71.2542,Hotel y Cabañas Mar De Ensueño
467,Sept-Iles,CA,33.06,overcast clouds,50.2001,-66.3821,Comfort Inn
468,Jumla,NP,48.43,clear sky,29.2747,82.1838,Royal Garden Hotel
469,Requena,ES,43.52,overcast clouds,39.4883,-1.1004,Hotel Avenida
472,Lewiston,US,50.25,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
477,Abay,KZ,32.38,overcast clouds,49.6311,72.8539,Guest House on Abaya 144
485,Price,US,45.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
489,Altamont,US,39.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
490,El Dorado,US,58.17,scattered clouds,38.7666,-120.5177,South Fork Group Campground
498,Hagerstown,US,47.68,scattered clouds,39.6418,-77.72,Hampton Inn Hagerstown
500,Svetlyy,RU,44.65,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
501,Wuchi,CN,38.08,overcast clouds,29.3786,103.023,Mine Hotel
502,Central Point,US,45.05,clear sky,42.376,-122.9164,Courtyard by Marriott Medford Airport
503,Bluefield,US,38.77,light rain,37.2698,-81.2223,Economy Inn
506,Alasehir,TR,55.24,clear sky,38.3508,28.5172,Seçil Otel
512,Yinchuan,CN,42.19,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
516,Kaeo,NZ,57.33,clear sky,-35.1,173.7833,Bushido Lodge
522,Shache,CN,57.9,clear sky,38.4167,77.2406,Delong Hotel
533,Dobroye,RU,40.77,light rain,52.8678,39.8109,Zarech'ye
536,Huilong,CN,54.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
537,Elizabeth City,US,57.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
538,Tottori,JP,52.02,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
541,Yubari,JP,37.9,light rain,43.0378,141.9578,合宿の宿ひまわり
542,Komsomolskiy,UZ,57.92,overcast clouds,40.4272,71.7189,Ikathouse
572,Ketchikan,US,39.18,scattered clouds,55.3422,-131.6461,Snow's Cove Lodge
580,Atasu,KZ,30.63,light snow,48.6814,71.6433,Dostyk
